manuscriptID,cite
HARVEY2018,SCHMIDT2009
HARVEY2018,SHULMAN1986
HARVEY2018,THOMAS2013
HARVEY2018,TOKMAK2013
HARVEY2018,TONDEUR2011
JIA2018,ANDERSON2007
JIA2018,BAKIR2016
JIA2018,BANAS2014
JIA2018,BRINGLE1995
JIA2018,BRUSH2003
JIA2018,BULLOCK2004
JIA2018,BUSS2015
JIA2018,DAWSON2007
JIA2018,DEELEY2015
JIA2018,DEXTER2008
JIA2018,ERICKSON1997
JIA2018,FOULGER2012
JIA2018,FURCO1996
JIA2018,GALVAN2011
JIA2018,GRAVETT2017
JIA2018,GRONSETH2010
JIA2018,GROSS2012
JIA2018,HILDENBRAND2015
JIA2018,KARCHMERKLEIN2007
JIA2018,KIM2008
JIA2018,KIM2011
JIA2018,KIRTMAN2008
JIA2018,MERRIAM2009
JIA2018,MERSETH1996
JIA2018,MOUZA2015
JIA2018,OTTENBREITLEFTWICH2010
JIA2018,PEIRSON2005
JIA2018,POLLY2010
JIA2018,REESE2016
JIA2018,SHEPHERD2015
JIA2018,SOSLAU2007
JIA2018,SUN2016
JIA2018,VOITHOFER2005
JIA2018,WANG2003
JIA2018,WANG2004
JIA2018,WETZEL2014
JIA2018,ZAINAL2007
JONES2018,ABD2015
JONES2018,AJZEN1985
JONES2018,AJZEN1991
JONES2018,ANDERSON2012
JONES2018,ANDERSON2007
JONES2018,BANDURA1982
JONES2018,BERRY2010
JONES2018,BEVAN2015
JONES2018,BEVAN2014
JONES2018,BLIKSTEIN2013
JONES2018,BSU2016
JONES2018,BROPHY2008
JONES2018,BROWN2015
JONES2018,BURGHARDT2006
JONES2018,CHEON2012
JONES2018,CHU2015
JONES2018,CLAPP2017
JONES2018,DAVIS1989
JONES2018,ERTMER2010
JONES2018,FISHBEIN1975
JONES2018,GLASER2008
JONES2018,GREAVES2013
JONES2018,HALLGREN2012
JONES2018,HALVERSON2014
JONES2018,HATCH2014
JONES2018,HERMANS2008
JONES2018,HONEY2013
JONES2018,HSU2017
JONES2018,KAFAI2014
JONES2018,KATSIOLOUDIS2014
JONES2018,KOSTAKIS2015
JONES2018,LACEY2010
JONES2018,LEE2010
JONES2018,MARTIN2015
JONES2018,MARTINEZ2013
JONES2018,NGSS2013
JONES2018,OBRIEN2016
JONES2018,WHITEHOUSE2014
JONES2018,OLIVER2016A
JONES2018,OLIVER2016B
JONES2018,OTTENBREITLEFTWICH2010
JONES2018,PAGANELLI2016
JONES2018,PAPERT1991
JONES2018,PEPPLER2013
JONES2018,POPE2002
JONES2018,SADAF2012A
JONES2018,SADAF2012B
JONES2018,SAFHALTER2016
JONES2018,SANG2010
JONES2018,STANDISH2016
JONES2018,SDS2016
JONES2018,TEO2008
JONES2018,TONDEUR2012
JONES2018,UWS2016
JONES2018,VOSSOUGHI2014
KENT2017,BANDURA1977
KENT2017,BANDURA1994
KENT2017,BELL2013
KENT2017,BROWN2010
KENT2017,CENNAMO2010
KENT2017,CHRISTENSEN1998
KENT2017,CLAUSEN2007
KENT2017,CURTS2008
KENT2017,DEMBO1985
KENT2017,DUNCAN2010
KENT2017,ERTMER2005
KENT2017,FLORES2015
KENT2017,GERSTEN2000
KENT2017,GOKCEK2013
KENT2017,GROTH2007
KENT2017,HENSON2002
KENT2017,HOLDEN2011
KENT2017,HOY2000
KENT2017,JIMOYIANNIS206
KENT2017,JOHNSON2009
KENT2017,KELLENBERGER2003
KENT2017,KNOBLAUCH2008
KENT2017,KRAMARKSI2015
KENT2017,KUMAR2008
KENT2017,LEVERDUFFY2011
KENT2017,MARTIN2014
KENT2017,MILES2013
KENT2017,MOERSCH1995
KENT2017,MOOREHAYES2011
KENT2017,NCTE2013
KENT2017,NADELSON2013
KENT2017,PAJARES2007
KENT2017,PALMER2011
KENT2017,PAMUK2012
KENT2017,PARASKEVA2008
KENT2017,PENDERGAST2011
KENT2017,POPE2005
KENT2017,PUTMAN2012
KENT2017,RETHLEFSEN2011
KENT2017,ROBLYER2010
KENT2017,ROHAAN2012
KENT2017,SHIVELYA2014
KENT2017,SPARKS1988
KENT2017,SURE2009
KENT2017,TEO2009
KENT2017,TEO2010
KENT2017,TOPKAYAZEHIR2010
KENT2017,TSCHANNENMORAN1998
KENT2017,TSCHANNENMORAN2001
KENT2017,WANG2004
KENT2017,USDOE2010
KENT2017,WATSON2006
KIMMONS2018,ARCHAMBAULT2010
KIMMONS2018,ARCHAMBAULT2009
KIMMONS2018,BEBELL2004
KIMMONS2018,BECKER2000
KIMMONS2018,BRANTLEYDIAS2013
KIMMONS2018,BURKHARDT2003
KIMMONS2018,CLARK1983
KIMMONS2018,CUBAN1988
KIMMONS2018,FEYERABEND1975
KIMMONS2018,GRAHAM2011
KIMMONS2018,HUGHES2005
KIMMONS2018,KAGAN1992
KIMMONS2018,KIMMONS2015
KIMMONS2018,KUHN1996
KIMMONS2018,KUHN2013
KIMMONS2018,MISHRA2007
KIMMONS2018,PAJARES1992
KIMMONS2018,PEA1985
KIMMONS2018,PUENTEDURA2003
KIMMONS2018,ROBLYER2013
KIMMONS2018,SMARKOLA2008
KIMMONS2018,WILLINGHAM2012
KOEHLER2017,BENNETT2012
KOEHLER2017,BIASUTTI2012
KOEHLER2017,BUUS2012
KOEHLER2017,CAPON2004
KOEHLER2017,CHI1985
KOEHLER2017,CHOI2009
KOEHLER2017,CHONG2010
KOEHLER2017,COLE2009
KOEHLER2017,CRESWELL2009
KOEHLER2017,DARLINGHAMMOND2007
KOEHLER2017,ERTMER2005
KOEHLER2017,ERTMER2015
KOEHLER2017,ERTMER2011
KOEHLER2017,ESERYEL2011
KOEHLER2017,FREEMAN2012
KOEHLER2017,GAVER1991
KOEHLER2017,GE2003
KOEHLER2017,GOKTAS2012
KOEHLER2017,HERREID2013
KOEHLER2017,IQBAL2011
KOEHLER2017,JONASSEN2011
KOEHLER2017,KOEHLER2015
KOEHLER2017,KOEHLER2015
